PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP00000029GU,集团
1001AA1LCP00000029GV,组织
1001AA1LCP00000029GW,编码
1001AA1LCP00000029GX,名称
1001AA1LCP00000029GY,单据日期
1001AA1LCP00000029GZ,会计期间
1001AA1LCP00000029H0,备注
1001AA1LCP00000029H1,自定义项1
1001AA1LCP00000029H2,单据号
1001AA1LCP00000029H3,自定义项2
1001AA1LCP00000029H4,所属组织
1001AA1LCP00000029H5,自定义项3
1001AA1LCP00000029H6,自定义项4
1001AA1LCP00000029H7,自定义项5
1001AA1LCP00000029H8,自定义项6
1001AA1LCP00000029H9,自定义项7
1001AA1LCP00000029HA,自定义项8
1001AA1LCP00000029HB,自定义项9
1001AA1LCP00000029HC,自定义项10
1001AA1LCP00000029HD,单据类型
1001AA1LCP00000029HE,交易类型pk
1001AA1LCP00000029HF,交易类型
1001AA1LCP00000029HG,业务类型
1001AA1LCP00000029HH,修订枚举
1001AA1LCP00000029HI,来源单据类型
1001AA1LCP00000029HJ,审批状态
1001AA1LCP00000029HK,审批人
1001AA1LCP00000029HL,审批时间
1001AA1LCP00000029HM,审批批语
1001AA1LCP00000029HN,主键
1001AA1LCP00000029HO,来源单据id
1001AA1LCP00000029HP,制单人
1001AA1LCP00000029HQ,单据版本pk
1001AA1LCP00000029HR,制单时间
1001AA1LCP00000029HS,组织版本
1001AA1LCP00000029HT,创建人
1001AA1LCP00000029HU,创建时间
1001AA1LCP00000029HV,修改人
1001AA1LCP00000029HW,修改时间
1001AA1LCP00000029I0,行号
1001AA1LCP00000029I1,主键
1001AA1LCP00000029I2,设备编码
1001AA1LCP00000029I3,设备名称
1001AA1LCP00000029I4,子设备编码
1001AA1LCP00000029I5,子设备名称
1001AA1LCP00000029I6,子子设备编码
1001AA1LCP00000029I7,子子设备名称
1001AA1LCP00000029I8,资产组织
1001AA1LCP00000029I9,资产组织版本
1001AA1LCP00000029IA,集团
1001AA1LCP00000029IB,规格
1001AA1LCP00000029IC,型号
1001AA1LCP00000029ID,设备类别
1001AA1LCP00000029IE,设备状态
1001AA1LCP00000029IF,状态日期
1001AA1LCP00000029IG,关键程度
1001AA1LCP00000029IH,资金来源
1001AA1LCP00000029II,位置
1001AA1LCP00000029IJ,管理部门
1001AA1LCP00000029IK,管理人
1001AA1LCP00000029IL,使用部门
1001AA1LCP00000029IM,责任人
1001AA1LCP00000029IN,配件已发生
1001AA1LCP00000029IO,能源已发生
1001AA1LCP00000029IP,其它已发生
1001AA1LCP00000029IQ,备注
1001AA1LCP00000029IR,来源单据类型
1001AA1LCP00000029IS,来源单据id
1001AA1LCP00000029IT,自定义项1
1001AA1LCP00000029IU,自定义项2
1001AA1LCP00000029IV,自定义项3
1001AA1LCP00000029IW,自定义项4
1001AA1LCP00000029IX,自定义项5
1001AA1LCP00000029IY,自定义项6
1001AA1LCP00000029IZ,自定义项7
1001AA1LCP00000029J0,自定义项8
1001AA1LCP00000029J1,自定义项9
