PUB_QUERY_PROPERTY
pk_query_property,label
1001AA1LCP000000292O,组织
1001AA1LCP000000292P,所属组织
1001AA1LCP000000292Q,编码
1001AA1LCP000000292R,单据号
1001AA1LCP000000292S,名称
1001AA1LCP000000292T,制单人
1001AA1LCP000000292U,审批状态
1001AA1LCP000000292V,交易类型pk
1001AA1LCP000000292W,集团
1001AA1LCP000000292X,组织版本
1001AA1LCP000000292Y,创建人
1001AA1LCP000000292Z,创建时间
1001AA1LCP0000002930,单据日期
1001AA1LCP0000002931,会计期间
1001AA1LCP0000002932,备注
1001AA1LCP0000002933,业务类型
1001AA1LCP0000002934,制单时间
1001AA1LCP0000002935,修改人
1001AA1LCP0000002936,修改时间
1001AA1LCP0000002937,审批人
1001AA1LCP0000002938,审批批语
1001AA1LCP0000002939,审批时间
1001AA1LCP000000293A,交易类型
1001AA1LCP000000293B,单据类型
1001AA1LCP000000293C,修订枚举
1001AA1LCP000000293D,单据版本pk
1001AA1LCP000000293E,来源单据类型
1001AA1LCP000000293F,来源单据id
1001AA1LCP000000293G,自定义项1
1001AA1LCP000000293H,自定义项2
1001AA1LCP000000293I,自定义项3
1001AA1LCP000000293J,自定义项4
1001AA1LCP000000293K,自定义项5
1001AA1LCP000000293L,自定义项6
1001AA1LCP000000293M,自定义项7
1001AA1LCP000000293N,自定义项8
1001AA1LCP000000293O,自定义项9
1001AA1LCP000000293P,自定义项10
