PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP000000302P,集团
1001AA1LCP000000302Q,组织
1001AA1LCP000000302R,编码
1001AA1LCP000000302S,名称
1001AA1LCP000000302T,单据日期
1001AA1LCP000000302U,部门编码
1001AA1LCP000000302V,部门名称
1001AA1LCP000000302W,员工编码
1001AA1LCP000000302X,员工姓名
1001AA1LCP000000302Y,操作
1001AA1LCP000000302Z,消费时间
1001AA1LCP0000003030,消费类型
1001AA1LCP0000003031,消费金额
1001AA1LCP0000003032,余额
1001AA1LCP0000003033,次数
1001AA1LCP0000003034,单据号
1001AA1LCP0000003035,自定义项1
1001AA1LCP0000003036,自定义项2
1001AA1LCP0000003037,自定义项3
1001AA1LCP0000003038,自定义项4
1001AA1LCP0000003039,自定义项5
1001AA1LCP000000303A,自定义项6
1001AA1LCP000000303B,自定义项7
1001AA1LCP000000303C,自定义项8
1001AA1LCP000000303D,自定义项9
1001AA1LCP000000303E,自定义项10
1001AA1LCP000000303F,自定义项11
1001AA1LCP000000303G,修订枚举
1001AA1LCP000000303H,自定义项12
1001AA1LCP000000303I,自定义项13
1001AA1LCP000000303J,自定义项14
1001AA1LCP000000303K,自定义项15
1001AA1LCP000000303L,自定义项16
1001AA1LCP000000303M,自定义项17
1001AA1LCP000000303N,自定义项18
1001AA1LCP000000303O,自定义项19
1001AA1LCP000000303P,自定义项20
1001AA1LCP000000303Q,单据类型
1001AA1LCP000000303R,交易类型pk
1001AA1LCP000000303S,交易类型
1001AA1LCP000000303T,业务类型
1001AA1LCP000000303U,来源单据类型
1001AA1LCP000000303V,审批状态
1001AA1LCP000000303W,审批人
1001AA1LCP000000303X,审批时间
1001AA1LCP000000303Y,审批批语
1001AA1LCP000000303Z,消费明细主键
1001AA1LCP0000003040,来源单据id
1001AA1LCP0000003041,制单人
1001AA1LCP0000003042,单据版本pk
1001AA1LCP0000003043,制单日期
1001AA1LCP0000003044,组织版本
1001AA1LCP0000003045,创建人
1001AA1LCP0000003046,创建时间
1001AA1LCP0000003047,修改人
1001AA1LCP0000003048,修改时间
1001AA1LCP0000003049,备注
1001AA1LCP000000304A,集团
1001AA1LCP000000304B,组织
1001AA1LCP000000304C,编码
1001AA1LCP000000304D,名称
1001AA1LCP000000304E,单据日期
1001AA1LCP000000304F,部门编码
1001AA1LCP000000304G,部门名称
1001AA1LCP000000304H,员工编码
1001AA1LCP000000304I,员工姓名
1001AA1LCP000000304J,操作
1001AA1LCP000000304K,消费时间
1001AA1LCP000000304L,单据号
1001AA1LCP000000304M,消费类型
1001AA1LCP000000304N,消费金额
1001AA1LCP000000304O,余额
1001AA1LCP000000304P,次数
1001AA1LCP000000304Q,自定义项1
1001AA1LCP000000304R,自定义项2
1001AA1LCP000000304S,自定义项3
1001AA1LCP000000304T,自定义项4
1001AA1LCP000000304U,自定义项5
1001AA1LCP000000304V,自定义项6
1001AA1LCP000000304W,修订枚举
1001AA1LCP000000304X,自定义项7
1001AA1LCP000000304Y,自定义项8
1001AA1LCP000000304Z,自定义项9
1001AA1LCP0000003050,自定义项10
1001AA1LCP0000003051,自定义项11
1001AA1LCP0000003052,自定义项12
1001AA1LCP0000003053,自定义项13
1001AA1LCP0000003054,自定义项14
1001AA1LCP0000003055,自定义项15
1001AA1LCP0000003056,自定义项16
1001AA1LCP0000003057,自定义项17
1001AA1LCP0000003058,自定义项18
1001AA1LCP0000003059,自定义项19
1001AA1LCP000000305A,自定义项20
1001AA1LCP000000305B,单据类型
1001AA1LCP000000305C,交易类型pk
1001AA1LCP000000305D,交易类型
1001AA1LCP000000305E,业务类型
1001AA1LCP000000305F,来源单据类型
1001AA1LCP000000305G,审批状态
1001AA1LCP000000305H,审批人
1001AA1LCP000000305I,审批时间
1001AA1LCP000000305J,审批批语
1001AA1LCP000000305K,消费明细主键
1001AA1LCP000000305L,来源单据id
1001AA1LCP000000305M,制单人
1001AA1LCP000000305N,单据版本pk
1001AA1LCP000000305O,制单日期
1001AA1LCP000000305P,组织版本
1001AA1LCP000000305Q,备注
1001AA1LCP000000305R,创建人
1001AA1LCP000000305S,创建时间
1001AA1LCP000000305T,修改人
1001AA1LCP000000305U,修改时间
