PUB_QUERY_PROPERTY
pk_query_property,label
1001AA1LCP0000003016,组织
1001AA1LCP0000003017,编码
1001AA1LCP0000003018,单据号
1001AA1LCP0000003019,名称
1001AA1LCP000000301A,制单人
1001AA1LCP000000301B,审批状态
1001AA1LCP000000301C,交易类型pk
1001AA1LCP000000301D,集团
1001AA1LCP000000301E,组织版本
1001AA1LCP000000301F,创建人
1001AA1LCP000000301G,创建时间
1001AA1LCP000000301H,修改人
1001AA1LCP000000301I,修改时间
1001AA1LCP000000301J,单据日期
1001AA1LCP000000301K,审批人
1001AA1LCP000000301L,审批时间
1001AA1LCP000000301M,制单日期
1001AA1LCP000000301N,审批批语
1001AA1LCP000000301O,单据类型
1001AA1LCP000000301P,业务类型
1001AA1LCP000000301Q,交易类型
1001AA1LCP000000301R,来源单据类型
1001AA1LCP000000301S,单据版本pk
1001AA1LCP000000301T,修订枚举
1001AA1LCP000000301U,部门编码
1001AA1LCP000000301V,部门名称
1001AA1LCP000000301W,员工编码
1001AA1LCP000000301X,员工姓名
1001AA1LCP000000301Y,操作
1001AA1LCP000000301Z,消费时间
1001AA1LCP0000003020,消费类型
1001AA1LCP0000003021,消费金额
1001AA1LCP0000003022,余额
1001AA1LCP0000003023,备注
1001AA1LCP0000003024,次数
1001AA1LCP0000003025,自定义项1
1001AA1LCP0000003026,自定义项2
1001AA1LCP0000003027,自定义项3
1001AA1LCP0000003028,自定义项4
1001AA1LCP0000003029,自定义项5
1001AA1LCP000000302A,自定义项6
1001AA1LCP000000302B,自定义项7
1001AA1LCP000000302C,自定义项8
1001AA1LCP000000302D,自定义项9
1001AA1LCP000000302E,自定义项10
1001AA1LCP000000302F,自定义项11
1001AA1LCP000000302G,自定义项12
1001AA1LCP000000302H,自定义项13
1001AA1LCP000000302I,自定义项14
1001AA1LCP000000302J,自定义项15
1001AA1LCP000000302K,自定义项16
1001AA1LCP000000302L,自定义项17
1001AA1LCP000000302M,自定义项18
1001AA1LCP000000302N,自定义项19
1001AA1LCP000000302O,自定义项20
