PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP00000ITG4N,pk_baseprice
1001AA1LCP00000ITG4O,自定义项4
1001AA1LCP00000ITG4P,自定义项5
1001AA1LCP00000ITG4Q,自定义项6
1001AA1LCP00000ITG4R,自定义项7
1001AA1LCP00000ITG4S,自定义项8
1001AA1LCP00000ITG4T,自定义项9
1001AA1LCP00000ITG4U,自定义项10
1001AA1LCP00000ITG4V,自定义项11
1001AA1LCP00000ITG4W,自定义项12
1001AA1LCP00000ITG4X,自定义项13
1001AA1LCP00000ITG4Y,自定义项14
1001AA1LCP00000ITG4Z,自定义项15
1001AA1LCP00000ITG50,自定义项16
1001AA1LCP00000ITG51,自定义项17
1001AA1LCP00000ITG52,自定义项18
1001AA1LCP00000ITG53,自定义项19
1001AA1LCP00000ITG54,自定义项20
1001AA1LCP00000ITG55,基价
1001AA1LCP00000ITG56,生效日期
1001AA1LCP00000ITG57,失效日期
1001AA1LCP00000ITG58,是否生效
1001AA1LCP00000ITG59,修改者
1001AA1LCP00000ITG5A,修改时间
1001AA1LCP00000ITG5B,创建者
1001AA1LCP00000ITG5C,创建时间
1001AA1LCP00000ITG5D,自定义项1
1001AA1LCP00000ITG5E,自定义项2
1001AA1LCP00000ITG5F,自定义项3
1001AA1LCP00000ITG5H,加价
1001AA1LCP00000ITG5I,指标
1001AA1LCP00000ITG5J,类型
1001AA1LCP00000ITG5K,区间1始
1001AA1LCP00000ITG5L,区间1止
1001AA1LCP00000ITG5M,区间1价格
1001AA1LCP00000ITG5N,区间2始
1001AA1LCP00000ITG5O,区间2止
1001AA1LCP00000ITG5P,区间2价格
1001AA1LCP00000ITG5Q,区间3始
1001AA1LCP00000ITG5R,区间3止
1001AA1LCP00000ITG5S,区间3价格
1001AA1LCP00000ITG5T,是否生效
1001AA1LCP00000ITG5U,修改者
1001AA1LCP00000ITG5V,修改时间
1001AA1LCP00000ITG5W,创建者
1001AA1LCP00000ITG5X,创建时间
1001AA1LCP00000ITG5Y,自定义项1
1001AA1LCP00000ITG5Z,自定义项2
1001AA1LCP00000ITG60,自定义项3
1001AA1LCP00000ITG61,自定义项4
1001AA1LCP00000ITG62,自定义项5
1001AA1LCP00000ITG63,自定义项6
1001AA1LCP00000ITG64,自定义项7
1001AA1LCP00000ITG65,自定义项8
1001AA1LCP00000ITG66,自定义项9
1001AA1LCP00000ITG67,自定义项10
1001AA1LCP00000ITG68,自定义项11
1001AA1LCP00000ITG69,自定义项12
1001AA1LCP00000ITG6A,自定义项13
1001AA1LCP00000ITG6B,自定义项14
1001AA1LCP00000ITG6C,自定义项15
1001AA1LCP00000ITG6D,自定义项16
1001AA1LCP00000ITG6E,自定义项17
1001AA1LCP00000ITG6F,自定义项18
1001AA1LCP00000ITG6G,自定义项19
1001AA1LCP00000ITG6H,自定义项20
1001AA1LCP00000ITG7M,集团
1001AA1LCP00000ITG7N,组织
1001AA1LCP00000ITG7O,客户价格管理
1001AA1LCP00000ITG7P,编码
1001AA1LCP00000ITG7Q,客户
1001AA1LCP00000ITG7R,自定义项1
1001AA1LCP00000ITG7S,自定义项2
1001AA1LCP00000ITG7T,自定义项3
1001AA1LCP00000ITG7U,自定义项4
1001AA1LCP00000ITG7V,自定义项5
1001AA1LCP00000ITG7W,自定义项6
1001AA1LCP00000ITG7X,自定义项7
1001AA1LCP00000ITG7Y,自定义项8
1001AA1LCP00000ITG7Z,自定义项9
1001AA1LCP00000ITG80,自定义项10
1001AA1LCP00000ITG81,自定义项11
1001AA1LCP00000ITG82,自定义项12
1001AA1LCP00000ITG83,自定义项13
1001AA1LCP00000ITG84,自定义项14
1001AA1LCP00000ITG85,自定义项15
1001AA1LCP00000ITG86,自定义项16
1001AA1LCP00000ITG87,自定义项17
1001AA1LCP00000ITG88,自定义项18
1001AA1LCP00000ITG89,自定义项19
1001AA1LCP00000ITG8A,自定义项20
1001AA1LCP00000ITG8B,制单时间
1001AA1LCP00000ITG8C,组织版本
1001AA1LCP00000ITG8D,创建者
1001AA1LCP00000ITG8E,创建时间
1001AA1LCP00000ITG8F,修改者
1001AA1LCP00000ITG8G,最后修改时间
1001AA1LCP00000ITG8H,集团
1001AA1LCP00000ITG8I,组织
1001AA1LCP00000ITG8J,客户价格管理
1001AA1LCP00000ITG8K,编码
1001AA1LCP00000ITG8L,客户
1001AA1LCP00000ITG8M,自定义项1
1001AA1LCP00000ITG8N,自定义项2
1001AA1LCP00000ITG8O,自定义项3
1001AA1LCP00000ITG8P,自定义项4
1001AA1LCP00000ITG8Q,自定义项5
1001AA1LCP00000ITG8R,自定义项6
1001AA1LCP00000ITG8S,自定义项7
1001AA1LCP00000ITG8T,自定义项8
1001AA1LCP00000ITG8U,自定义项9
1001AA1LCP00000ITG8V,自定义项10
1001AA1LCP00000ITG8W,自定义项11
1001AA1LCP00000ITG8X,自定义项12
1001AA1LCP00000ITG8Y,自定义项13
1001AA1LCP00000ITG8Z,自定义项14
1001AA1LCP00000ITG90,自定义项15
1001AA1LCP00000ITG91,自定义项16
1001AA1LCP00000ITG92,自定义项17
1001AA1LCP00000ITG93,自定义项18
1001AA1LCP00000ITG94,自定义项19
1001AA1LCP00000ITG95,自定义项20
1001AA1LCP00000ITG96,制单时间
1001AA1LCP00000ITG97,组织版本
1001AA1LCP00000ITG98,创建者
1001AA1LCP00000ITG99,创建时间
1001AA1LCP00000ITG9A,修改者
1001AA1LCP00000ITG9B,最后修改时间
1001AA1LCP00000ITG9C,pk_baseprice
1001AA1LCP00000ITG9D,自定义项4
1001AA1LCP00000ITG9E,自定义项5
1001AA1LCP00000ITG9F,自定义项6
1001AA1LCP00000ITG9G,自定义项7
1001AA1LCP00000ITG9H,自定义项8
1001AA1LCP00000ITG9I,自定义项9
1001AA1LCP00000ITG9J,自定义项10
1001AA1LCP00000ITG9K,自定义项11
1001AA1LCP00000ITG9L,自定义项12
1001AA1LCP00000ITG9M,自定义项13
1001AA1LCP00000ITG9N,自定义项14
1001AA1LCP00000ITG9O,自定义项15
1001AA1LCP00000ITG9P,自定义项16
1001AA1LCP00000ITG9Q,自定义项17
1001AA1LCP00000ITG9R,自定义项18
1001AA1LCP00000ITG9S,自定义项19
1001AA1LCP00000ITG9T,自定义项20
1001AA1LCP00000ITG9U,基价
1001AA1LCP00000ITG9V,生效日期
1001AA1LCP00000ITG9W,失效日期
1001AA1LCP00000ITG9X,是否生效
1001AA1LCP00000ITG9Y,修改者
1001AA1LCP00000ITG9Z,修改时间
1001AA1LCP00000ITGA0,创建者
1001AA1LCP00000ITGA1,创建时间
1001AA1LCP00000ITGA2,自定义项1
1001AA1LCP00000ITGA3,自定义项2
1001AA1LCP00000ITGA4,自定义项3
1001AA1LCP00000ITGA5,pk_baseprice
1001AA1LCP00000ITGA6,自定义项4
1001AA1LCP00000ITGA7,自定义项5
1001AA1LCP00000ITGA8,自定义项6
1001AA1LCP00000ITGA9,自定义项7
1001AA1LCP00000ITGAA,自定义项8
1001AA1LCP00000ITGAB,自定义项9
1001AA1LCP00000ITGAC,自定义项10
1001AA1LCP00000ITGAD,自定义项11
1001AA1LCP00000ITGAE,自定义项12
1001AA1LCP00000ITGAF,自定义项13
1001AA1LCP00000ITGAG,自定义项14
1001AA1LCP00000ITGAH,自定义项15
1001AA1LCP00000ITGAI,自定义项16
1001AA1LCP00000ITGAJ,自定义项17
1001AA1LCP00000ITGAK,自定义项18
1001AA1LCP00000ITGAL,自定义项19
1001AA1LCP00000ITGAM,自定义项20
1001AA1LCP00000ITGAN,基价
1001AA1LCP00000ITGAO,生效日期
