PUB_QUERY_PROPERTY
pk_query_property,label
1001AA1LCP00000ITG6S,组织
1001AA1LCP00000ITG6T,编码
1001AA1LCP00000ITG6U,客户
1001AA1LCP00000ITG6V,集团
1001AA1LCP00000ITG6W,组织版本
1001AA1LCP00000ITG6X,制单时间
1001AA1LCP00000ITG6Y,创建时间
1001AA1LCP00000ITG6Z,创建者
1001AA1LCP00000ITG70,最后修改时间
1001AA1LCP00000ITG71,修改者
1001AA1LCP00000ITG72,自定义项1
1001AA1LCP00000ITG73,自定义项2
1001AA1LCP00000ITG74,自定义项3
1001AA1LCP00000ITG75,自定义项4
1001AA1LCP00000ITG76,自定义项5
1001AA1LCP00000ITG77,自定义项6
1001AA1LCP00000ITG78,自定义项7
1001AA1LCP00000ITG79,自定义项8
1001AA1LCP00000ITG7A,自定义项9
1001AA1LCP00000ITG7B,自定义项10
1001AA1LCP00000ITG7C,自定义项11
1001AA1LCP00000ITG7D,自定义项12
1001AA1LCP00000ITG7E,自定义项13
1001AA1LCP00000ITG7F,自定义项14
1001AA1LCP00000ITG7G,自定义项15
1001AA1LCP00000ITG7H,自定义项16
1001AA1LCP00000ITG7I,自定义项17
1001AA1LCP00000ITG7J,自定义项18
1001AA1LCP00000ITG7K,自定义项19
1001AA1LCP00000ITG7L,自定义项20
