PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP00000IVDU9,集团
1001AA1LCP00000IVDUA,组织
1001AA1LCP00000IVDUB,code
1001AA1LCP00000IVDUC,name
1001AA1LCP00000IVDUD,自定义项3
1001AA1LCP00000IVDUE,自定义项4
1001AA1LCP00000IVDUF,自定义项5
1001AA1LCP00000IVDUG,自定义项6
1001AA1LCP00000IVDUH,自定义项7
1001AA1LCP00000IVDUI,自定义项8
1001AA1LCP00000IVDUJ,自定义项10
1001AA1LCP00000IVDUK,单据日期
1001AA1LCP00000IVDUL,出发里程
1001AA1LCP00000IVDUM,返回里程
1001AA1LCP00000IVDUN,行驶里程
1001AA1LCP00000IVDUO,是否可拼车
1001AA1LCP00000IVDUP,司机
1001AA1LCP00000IVDUQ,司机电话
1001AA1LCP00000IVDUR,车牌号
1001AA1LCP00000IVDUS,单据状态
1001AA1LCP00000IVDUT,出发地
1001AA1LCP00000IVDUU,最终目的地
1001AA1LCP00000IVDUV,目标区域
1001AA1LCP00000IVDUW,剩余人数
1001AA1LCP00000IVDUX,开始时间
1001AA1LCP00000IVDUY,结束时间
1001AA1LCP00000IVDUZ,自定义项0
1001AA1LCP00000IVDV0,自定义项1
1001AA1LCP00000IVDV1,修订枚举
1001AA1LCP00000IVDV2,自定义项2
1001AA1LCP00000IVDV3,单据类型
1001AA1LCP00000IVDV4,交易类型pk
1001AA1LCP00000IVDV5,交易类型
1001AA1LCP00000IVDV6,业务类型
1001AA1LCP00000IVDV7,来源单据类型
1001AA1LCP00000IVDV8,审批状态
1001AA1LCP00000IVDV9,审批人
1001AA1LCP00000IVDVA,订单号
1001AA1LCP00000IVDVB,审批时间
1001AA1LCP00000IVDVC,审批批语
1001AA1LCP00000IVDVD,主键
1001AA1LCP00000IVDVE,来源单据id
1001AA1LCP00000IVDVF,制单人
1001AA1LCP00000IVDVG,单据版本pk
1001AA1LCP00000IVDVH,制单时间
1001AA1LCP00000IVDVI,最后修改时间
1001AA1LCP00000IVDVJ,组织版本
1001AA1LCP00000IVDVK,创建人
1001AA1LCP00000IVDVL,创建时间
1001AA1LCP00000IVDVM,修改人
1001AA1LCP00000IVDVN,修改时间
1001AA1LCP00000IVDVR,行号
1001AA1LCP00000IVDVS,集团
1001AA1LCP00000IVDVT,code
1001AA1LCP00000IVDVU,name
1001AA1LCP00000IVDVV,出发时间
1001AA1LCP00000IVDVW,目的地五
1001AA1LCP00000IVDVX,最终目的地
1001AA1LCP00000IVDVY,目标区域
1001AA1LCP00000IVDVZ,返回时间
1001AA1LCP00000IVDW0,事由
1001AA1LCP00000IVDW1,驳回原因
1001AA1LCP00000IVDW2,取消原因
1001AA1LCP00000IVDW3,人数
1001AA1LCP00000IVDW4,自定义项0
1001AA1LCP00000IVDW5,主键
1001AA1LCP00000IVDW6,第一申请人
1001AA1LCP00000IVDW7,出发地
1001AA1LCP00000IVDW8,拼车人
1001AA1LCP00000IVDW9,申请部门
1001AA1LCP00000IVDWA,联系电话
1001AA1LCP00000IVDWB,目的地一
1001AA1LCP00000IVDWC,目的地二
1001AA1LCP00000IVDWD,目的地三
1001AA1LCP00000IVDWE,目的地四
1001AA1LCP00000IVDWF,自定义项4
1001AA1LCP00000IVDWG,自定义项1
1001AA1LCP00000IVDWH,自定义项2
1001AA1LCP00000IVDWI,自定义项3
1001AA1LCP00000IVDWJ,自定义项5
1001AA1LCP00000IVDWK,id
1001AA1LCP00000IVDWL,自定义项6
1001AA1LCP00000IVDWM,自定义项7
1001AA1LCP00000IVDWN,自定义项8
1001AA1LCP00000IVDWO,自定义项10
1001AA1LCP00000IVDWP,组织
1001AA1LCP00000IVDWQ,组织版本
1001AA1LCP00000IVDWR,星级
1001AA1LCP00000IVDWS,评价
1001AA1LCP00000IVDWT,行号
1001AA1LCP00000IVDWU,集团
1001AA1LCP00000IVDWV,code
1001AA1LCP00000IVDWW,name
1001AA1LCP00000IVDWX,出发时间
1001AA1LCP00000IVDWY,目的地五
1001AA1LCP00000IVDWZ,最终目的地
1001AA1LCP00000IVDX0,目标区域
1001AA1LCP00000IVDX1,返回时间
1001AA1LCP00000IVDX2,事由
1001AA1LCP00000IVDX3,驳回原因
1001AA1LCP00000IVDX4,取消原因
1001AA1LCP00000IVDX5,人数
1001AA1LCP00000IVDX6,自定义项0
1001AA1LCP00000IVDX7,主键
1001AA1LCP00000IVDX8,第一申请人
1001AA1LCP00000IVDX9,出发地
1001AA1LCP00000IVDXA,拼车人
1001AA1LCP00000IVDXB,申请部门
1001AA1LCP00000IVDXC,联系电话
1001AA1LCP00000IVDXD,目的地一
1001AA1LCP00000IVDXE,目的地二
1001AA1LCP00000IVDXF,目的地三
1001AA1LCP00000IVDXG,目的地四
1001AA1LCP00000IVDXH,自定义项4
1001AA1LCP00000IVDXI,自定义项1
1001AA1LCP00000IVDXJ,自定义项2
1001AA1LCP00000IVDXK,自定义项3
1001AA1LCP00000IVDXL,自定义项5
1001AA1LCP00000IVDXM,id
1001AA1LCP00000IVDXN,自定义项6
1001AA1LCP00000IVDXO,自定义项7
1001AA1LCP00000IVDXP,自定义项8
1001AA1LCP00000IVDXQ,自定义项10
1001AA1LCP00000IVDXR,组织
1001AA1LCP00000IVDXS,组织版本
1001AA1LCP00000IVDXT,星级
1001AA1LCP00000IVDXU,评价
1001AA1LCP00000IVDXV,行号
1001AA1LCP00000IVDXW,集团
1001AA1LCP00000IVDXX,code
1001AA1LCP00000IVDXY,name
1001AA1LCP00000IVDXZ,出发时间
1001AA1LCP00000IVDY0,目的地五
1001AA1LCP00000IVDY1,最终目的地
1001AA1LCP00000IVDY2,目标区域
1001AA1LCP00000IVDY3,返回时间
1001AA1LCP00000IVDY4,事由
1001AA1LCP00000IVDY5,驳回原因
1001AA1LCP00000IVDY6,取消原因
1001AA1LCP00000IVDY7,人数
1001AA1LCP00000IVDY8,自定义项0
1001AA1LCP00000IVDY9,主键
1001AA1LCP00000IVDYA,第一申请人
1001AA1LCP00000IVDYB,出发地
1001AA1LCP00000IVDYC,拼车人
1001AA1LCP00000IVDYD,申请部门
1001AA1LCP00000IVDYE,联系电话
1001AA1LCP00000IVDYF,目的地一
1001AA1LCP00000IVDYG,目的地二
1001AA1LCP00000IVDYH,目的地三
1001AA1LCP00000IVDYI,目的地四
1001AA1LCP00000IVDYJ,自定义项4
1001AA1LCP00000IVDYK,自定义项1
1001AA1LCP00000IVDYL,自定义项2
1001AA1LCP00000IVDYM,自定义项3
1001AA1LCP00000IVDYN,自定义项5
1001AA1LCP00000IVDYO,id
1001AA1LCP00000IVDYP,自定义项6
1001AA1LCP00000IVDYQ,自定义项7
1001AA1LCP00000IVDYR,自定义项8
1001AA1LCP00000IVDYS,自定义项10
1001AA1LCP00000IVDYT,组织
1001AA1LCP00000IVDYU,组织版本
