PUB_QUERY_PROPERTY
pk_query_property,label
1001AA1LCP00000IVAC5,组织
1001AA1LCP00000IVAC6,code
1001AA1LCP00000IVAC7,订单号
1001AA1LCP00000IVAC8,name
1001AA1LCP00000IVAC9,制单人
1001AA1LCP00000IVACA,审批状态
1001AA1LCP00000IVACB,交易类型pk
1001AA1LCP00000IVACC,自定义项3
1001AA1LCP00000IVACD,自定义项4
1001AA1LCP00000IVACE,自定义项5
1001AA1LCP00000IVACF,自定义项6
1001AA1LCP00000IVACG,自定义项7
1001AA1LCP00000IVACH,自定义项8
1001AA1LCP00000IVACI,自定义项10
1001AA1LCP00000IVACJ,集团
1001AA1LCP00000IVACK,组织版本
1001AA1LCP00000IVACL,制单时间
1001AA1LCP00000IVACM,最后修改时间
1001AA1LCP00000IVACN,单据日期
1001AA1LCP00000IVACO,创建人
1001AA1LCP00000IVACP,创建时间
1001AA1LCP00000IVACQ,修改人
1001AA1LCP00000IVACR,修改时间
1001AA1LCP00000IVACS,业务类型
1001AA1LCP00000IVACT,审批人
1001AA1LCP00000IVACU,审批批语
1001AA1LCP00000IVACV,审批时间
1001AA1LCP00000IVACW,交易类型
1001AA1LCP00000IVACX,单据类型
1001AA1LCP00000IVACY,来源单据类型
1001AA1LCP00000IVACZ,来源单据id
1001AA1LCP00000IVAD0,修订枚举
1001AA1LCP00000IVAD1,单据版本pk
1001AA1LCP00000IVAD2,出发里程
1001AA1LCP00000IVAD3,返回里程
1001AA1LCP00000IVAD4,行驶里程
1001AA1LCP00000IVAD5,是否可拼车
1001AA1LCP00000IVAD6,司机
1001AA1LCP00000IVAD7,司机电话
1001AA1LCP00000IVAD8,车牌号
1001AA1LCP00000IVAD9,单据状态
1001AA1LCP00000IVADA,出发地
1001AA1LCP00000IVADB,最终目的地
1001AA1LCP00000IVADC,目标区域
1001AA1LCP00000IVADD,剩余人数
1001AA1LCP00000IVADE,开始时间
1001AA1LCP00000IVADF,结束时间
1001AA1LCP00000IVADG,自定义项0
1001AA1LCP00000IVADH,自定义项1
1001AA1LCP00000IVADI,自定义项2
